edge_type_id dynamics_params model_template target_query source_query delay
100 AMPA_ExcToExc.json exp2syn node_type_id=='471129934'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
101 AMPA_ExcToExc.json exp2syn node_type_id=='471143169'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
102 AMPA_ExcToExc.json exp2syn node_type_id=='471758398'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
103 AMPA_ExcToExc.json exp2syn node_type_id=='471767045'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
104 AMPA_ExcToExc.json exp2syn node_type_id=='485574832'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
105 AMPA_ExcToExc.json exp2syn node_type_id=='485835055'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
106 AMPA_ExcToExc.json exp2syn node_type_id=='485880739'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
107 AMPA_ExcToExc.json exp2syn node_type_id=='486052980'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
108 AMPA_ExcToExc.json exp2syn node_type_id=='486110216'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
109 AMPA_ExcToExc.json exp2syn node_type_id=='487664663'&pop_name=='e5Rbp4' pop_name=='e5Rbp4' 1.5
111 AMPA_ExcToExc.json exp2syn node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e5Rbp4' 3.0
112 AMPA_ExcToInh.json exp2syn node_type_id=='321708130'&pop_name=='i6Pvalb' pop_name=='e5Rbp4' 1.2
114 AMPA_ExcToInh.json exp2syn node_type_id=='471087830'&pop_name=='i6Pvalb' pop_name=='e5Rbp4' 1.2
116 AMPA_ExcToInh.json exp2syn node_type_id=='478058328'&pop_name=='i6Pvalb' pop_name=='e5Rbp4' 1.2
117 AMPA_ExcToInh.json exp2syn node_type_id=='478828646'&pop_name=='i6Pvalb' pop_name=='e5Rbp4' 1.2
119 AMPA_ExcToExc.json exp2syn node_type_id=='314900022'&pop_name=='e4Scnn1a' pop_name=='e5Rbp4' 2.5
122 AMPA_ExcToExc.json exp2syn node_type_id=='348592897'&pop_name=='e4Scnn1a' pop_name=='e5Rbp4' 2.5
123 AMPA_ExcToExc.json exp2syn node_type_id=='395830185'&pop_name=='e4Scnn1a' pop_name=='e5Rbp4' 2.5
124 AMPA_ExcToExc.json exp2syn node_type_id=='469798159'&pop_name=='e4Scnn1a' pop_name=='e5Rbp4' 2.5
125 AMPA_ExcToExc.json exp2syn node_type_id=='476126528'&pop_name=='e4Scnn1a' pop_name=='e5Rbp4' 2.5
