node_type_id model_type model_template dynamics_params pop_name gaba_synapse ei location population layer
488419491 point_process nest:glif_psc 488419491_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
485880739 point_process nest:glif_psc 485880739_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
485574832 point_process nest:glif_psc 485574832_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
487664663 point_process nest:glif_psc 487664663_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
471129934 point_process nest:glif_psc 471129934_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
486052980 point_process nest:glif_psc 486052980_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
507996688 point_process nest:glif_psc 507996688_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
490916919 point_process nest:glif_psc 490916919_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
486110216 point_process nest:glif_psc 486110216_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
486176465 point_process nest:glif_psc 486176465_glif_psc.json e5Rbp4 NULL e Cortex v1 L5
487661754 point_process nest:glif_psc 487661754_glif_psc_sg3.json e23Cux2 NULL e Cortex v1 L23
471087830 point_process nest:glif_psc 471087830_glif_psc.json i6Pvalb NULL i Cortex v1 L6
478058328 point_process nest:glif_psc 478058328_glif_psc.json i6Pvalb NULL i Cortex v1 L6
478828646 point_process nest:glif_psc 478828646_glif_psc.json i6Pvalb NULL i Cortex v1 L6
481093525 point_process nest:glif_psc 481093525_glif_psc.json i6Pvalb NULL i Cortex v1 L6
476056333 point_process nest:glif_psc 476056333_glif_psc.json e4Scnn1a NULL e Cortex v1 L4
517982558 point_process nest:glif_psc 517982558_glif_psc.json e4Scnn1a NULL e Cortex v1 L4
395830185 point_process nest:glif_psc 395830185_glif_psc.json e4Scnn1a NULL e Cortex v1 L4
476218657 point_process nest:glif_psc 476218657_glif_psc.json e4Scnn1a NULL e Cortex v1 L4
314900022 point_process nest:glif_psc 314900022_glif_psc.json e4Scnn1a NULL e Cortex v1 L4
518290966 point_process nest:glif_psc 518290966_glif_psc.json e4Scnn1a NULL e Cortex v1 L4
484635029 point_process nest:glif_psc 484635029_glif_psc.json i23Pvalb NULL i Cortex v1 L23
341442651 point_process nest:glif_psc 341442651_glif_psc.json i23Pvalb NULL i Cortex v1 L23
488501071 point_process nest:glif_psc 488501071_glif_psc.json i23Pvalb NULL i Cortex v1 L23
479219923 point_process nest:glif_psc 479219923_glif_psc.json i6Htr3a NULL i Cortex v1 L6
