edge_type_id source_query target_query model_template delay dynamics_params
0 pop_name=='e5Rbp4' node_type_id=='469793303' static_synapse 1.5 e2e.json
1 pop_name=='e23Cux2' node_type_id=='469793303' static_synapse 1.8 e2e.json
2 pop_name=='i6Pvalb' node_type_id=='469793303' static_synapse 0.9 i2e.json
3 pop_name=='e4Scnn1a' node_type_id=='469793303' static_synapse 1.5 e2e.json
4 pop_name=='i23Pvalb' node_type_id=='469793303' static_synapse 0.9 i2e.json
5 pop_name=='i6Htr3a' node_type_id=='469793303' static_synapse 1.5 i2e.json
6 pop_name=='i5Htr3a' node_type_id=='469793303' static_synapse 1.5 i2e.json
7 pop_name=='i23Htr3a' node_type_id=='469793303' static_synapse 1.5 i2e.json
8 pop_name=='e4Rorb' node_type_id=='469793303' static_synapse 1.5 e2e.json
9 pop_name=='e4other' node_type_id=='469793303' static_synapse 1.5 e2e.json
10 pop_name=='i5Pvalb' node_type_id=='469793303' static_synapse 0.9 i2e.json
11 pop_name=='i4Pvalb' node_type_id=='469793303' static_synapse 0.9 i2e.json
12 pop_name=='i23Sst' node_type_id=='469793303' static_synapse 1.5 i2e.json
13 pop_name=='i4Htr3a' node_type_id=='469793303' static_synapse 1.5 i2e.json
14 pop_name=='i4Sst' node_type_id=='469793303' static_synapse 1.5 i2e.json
15 pop_name=='e4Nr5a1' node_type_id=='469793303' static_synapse 1.5 e2e.json
16 pop_name=='i1Htr3a' node_type_id=='469793303' static_synapse 3.8 i2e.json
17 pop_name=='i5Sst' node_type_id=='469793303' static_synapse 1.5 i2e.json
18 pop_name=='e5noRbp4' node_type_id=='469793303' static_synapse 1.5 e2e.json
19 pop_name=='i6Sst' node_type_id=='469793303' static_synapse 1.5 i2e.json
20 pop_name=='e6Ntsr1' node_type_id=='469793303' static_synapse 3.5 e2e.json
21 pop_name=='e5Rbp4' node_type_id=='486052980' static_synapse 1.5 e2e.json
22 pop_name=='e23Cux2' node_type_id=='486052980' static_synapse 1.8 e2e.json
23 pop_name=='i6Pvalb' node_type_id=='486052980' static_synapse 0.9 i2e.json
24 pop_name=='e4Scnn1a' node_type_id=='486052980' static_synapse 1.5 e2e.json
25 pop_name=='i23Pvalb' node_type_id=='486052980' static_synapse 0.9 i2e.json
26 pop_name=='i6Htr3a' node_type_id=='486052980' static_synapse 1.5 i2e.json
27 pop_name=='i5Htr3a' node_type_id=='486052980' static_synapse 1.5 i2e.json
28 pop_name=='i23Htr3a' node_type_id=='486052980' static_synapse 1.5 i2e.json
29 pop_name=='e4Rorb' node_type_id=='486052980' static_synapse 1.5 e2e.json
30 pop_name=='e4other' node_type_id=='486052980' static_synapse 1.5 e2e.json
31 pop_name=='i5Pvalb' node_type_id=='486052980' static_synapse 0.9 i2e.json
32 pop_name=='i4Pvalb' node_type_id=='486052980' static_synapse 0.9 i2e.json
33 pop_name=='i23Sst' node_type_id=='486052980' static_synapse 1.5 i2e.json
34 pop_name=='i4Htr3a' node_type_id=='486052980' static_synapse 1.5 i2e.json
35 pop_name=='i4Sst' node_type_id=='486052980' static_synapse 1.5 i2e.json
36 pop_name=='e4Nr5a1' node_type_id=='486052980' static_synapse 1.5 e2e.json
37 pop_name=='i1Htr3a' node_type_id=='486052980' static_synapse 3.8 i2e.json
38 pop_name=='i5Sst' node_type_id=='486052980' static_synapse 1.5 i2e.json
39 pop_name=='e5noRbp4' node_type_id=='486052980' static_synapse 1.5 e2e.json
40 pop_name=='i6Sst' node_type_id=='486052980' static_synapse 1.5 i2e.json
41 pop_name=='e6Ntsr1' node_type_id=='486052980' static_synapse 3.5 e2e.json
42 pop_name=='e5Rbp4' node_type_id=='480952106' static_synapse 1.2 e2i.json
43 pop_name=='e23Cux2' node_type_id=='480952106' static_synapse 1.2 e2i.json
44 pop_name=='i6Pvalb' node_type_id=='480952106' static_synapse 1.6 i2i.json
45 pop_name=='e4Scnn1a' node_type_id=='480952106' static_synapse 1.2 e2i.json
46 pop_name=='i23Pvalb' node_type_id=='480952106' static_synapse 1.6 i2i.json
47 pop_name=='i6Htr3a' node_type_id=='480952106' static_synapse 1.5 i2i.json
48 pop_name=='i5Htr3a' node_type_id=='480952106' static_synapse 1.5 i2i.json
49 pop_name=='i23Htr3a' node_type_id=='480952106' static_synapse 1.5 i2i.json
50 pop_name=='e4Rorb' node_type_id=='480952106' static_synapse 1.2 e2i.json
51 pop_name=='e4other' node_type_id=='480952106' static_synapse 1.2 e2i.json
52 pop_name=='i5Pvalb' node_type_id=='480952106' static_synapse 1.6 i2i.json
53 pop_name=='i4Pvalb' node_type_id=='480952106' static_synapse 1.6 i2i.json
54 pop_name=='i23Sst' node_type_id=='480952106' static_synapse 1.5 i2i.json
55 pop_name=='i4Htr3a' node_type_id=='480952106' static_synapse 1.5 i2i.json
56 pop_name=='i4Sst' node_type_id=='480952106' static_synapse 1.5 i2i.json
57 pop_name=='e4Nr5a1' node_type_id=='480952106' static_synapse 1.2 e2i.json
58 pop_name=='i1Htr3a' node_type_id=='480952106' static_synapse 3.8 i2i.json
59 pop_name=='i5Sst' node_type_id=='480952106' static_synapse 1.5 i2i.json
60 pop_name=='e5noRbp4' node_type_id=='480952106' static_synapse 1.2 e2i.json
61 pop_name=='i6Sst' node_type_id=='480952106' static_synapse 1.5 i2i.json
62 pop_name=='e6Ntsr1' node_type_id=='480952106' static_synapse 1.2 e2i.json
63 pop_name=='e5Rbp4' node_type_id=='518290966' static_synapse 2.5 e2e.json
64 pop_name=='e23Cux2' node_type_id=='518290966' static_synapse 1.6 e2e.json
65 pop_name=='i6Pvalb' node_type_id=='518290966' static_synapse 0.9 i2e.json
66 pop_name=='e4Scnn1a' node_type_id=='518290966' static_synapse 1.3 e2e.json
67 pop_name=='i23Pvalb' node_type_id=='518290966' static_synapse 0.9 i2e.json
68 pop_name=='i6Htr3a' node_type_id=='518290966' static_synapse 1.5 i2e.json
69 pop_name=='i5Htr3a' node_type_id=='518290966' static_synapse 1.5 i2e.json
70 pop_name=='i23Htr3a' node_type_id=='518290966' static_synapse 1.5 i2e.json
71 pop_name=='e4Rorb' node_type_id=='518290966' static_synapse 1.3 e2e.json
72 pop_name=='e4other' node_type_id=='518290966' static_synapse 1.3 e2e.json
73 pop_name=='i5Pvalb' node_type_id=='518290966' static_synapse 0.9 i2e.json
74 pop_name=='i4Pvalb' node_type_id=='518290966' static_synapse 0.9 i2e.json
