node_type_id model_type model_template dynamics_params pop_name gaba_synapse ei location population
488419491 point_process nest:glif_lif_asc_psc 488419491_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
485880739 point_process nest:glif_lif_asc_psc 485880739_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
485574832 point_process nest:glif_lif_asc_psc 485574832_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
487664663 point_process nest:glif_lif_asc_psc 487664663_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
471129934 point_process nest:glif_lif_asc_psc 471129934_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
486052980 point_process nest:glif_lif_asc_psc 486052980_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
507996688 point_process nest:glif_lif_asc_psc 507996688_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
490916919 point_process nest:glif_lif_asc_psc 490916919_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
486110216 point_process nest:glif_lif_asc_psc 486110216_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
486176465 point_process nest:glif_lif_asc_psc 486176465_glif_lif_asc_config.json e5Rbp4 NULL e Cortex v1
487661754 point_process nest:glif_lif_asc_psc 487661754_glif_lif_asc_config.json e23Cux2 NULL e Cortex v1
471087830 point_process nest:glif_lif_asc_psc 471087830_glif_lif_asc_config.json i6Pvalb NULL i Cortex v1
478058328 point_process nest:glif_lif_asc_psc 478058328_glif_lif_asc_config.json i6Pvalb NULL i Cortex v1
478828646 point_process nest:glif_lif_asc_psc 478828646_glif_lif_asc_config.json i6Pvalb NULL i Cortex v1
481093525 point_process nest:glif_lif_asc_psc 481093525_glif_lif_asc_config.json i6Pvalb NULL i Cortex v1
476056333 point_process nest:glif_lif_asc_psc 476056333_glif_lif_asc_config.json e4Scnn1a NULL e Cortex v1
517982558 point_process nest:glif_lif_asc_psc 517982558_glif_lif_asc_config.json e4Scnn1a NULL e Cortex v1
395830185 point_process nest:glif_lif_asc_psc 395830185_glif_lif_asc_config.json e4Scnn1a NULL e Cortex v1
476218657 point_process nest:glif_lif_asc_psc 476218657_glif_lif_asc_config.json e4Scnn1a NULL e Cortex v1
314900022 point_process nest:glif_lif_asc_psc 314900022_glif_lif_asc_config.json e4Scnn1a NULL e Cortex v1
518290966 point_process nest:glif_lif_asc_psc 518290966_glif_lif_asc_config.json e4Scnn1a NULL e Cortex v1
484635029 point_process nest:glif_lif_asc_psc 484635029_glif_lif_asc_config.json i23Pvalb NULL i Cortex v1
341442651 point_process nest:glif_lif_asc_psc 341442651_glif_lif_asc_config.json i23Pvalb NULL i Cortex v1
488501071 point_process nest:glif_lif_asc_psc 488501071_glif_lif_asc_config.json i23Pvalb NULL i Cortex v1
479219923 point_process nest:glif_lif_asc_psc 479219923_glif_lif_asc_config.json i6Htr3a NULL i Cortex v1
482764620 point_process nest:glif_lif_asc_psc 482764620_glif_lif_asc_config.json i5Htr3a NULL i Cortex v1
487176969 point_process nest:glif_lif_asc_psc 487176969_glif_lif_asc_config.json i6Htr3a NULL i Cortex v1
482773968 point_process nest:glif_lif_asc_psc 482773968_glif_lif_asc_config.json i5Htr3a NULL i Cortex v1
464188580 point_process nest:glif_lif_asc_psc 464188580_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
475622793 point_process nest:glif_lif_asc_psc 475622793_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
327962063 point_process nest:glif_lif_asc_psc 327962063_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
479220013 point_process nest:glif_lif_asc_psc 479220013_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
475622680 point_process nest:glif_lif_asc_psc 475622680_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
469753383 point_process nest:glif_lif_asc_psc 469753383_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
474267418 point_process nest:glif_lif_asc_psc 474267418_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
473943881 point_process nest:glif_lif_asc_psc 473943881_glif_lif_asc_config.json i23Htr3a NULL i Cortex v1
480124551 point_process nest:glif_lif_asc_psc 480124551_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
479225080 point_process nest:glif_lif_asc_psc 479225080_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
324025371 point_process nest:glif_lif_asc_psc 324025371_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
485836906 point_process nest:glif_lif_asc_psc 485836906_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
480087928 point_process nest:glif_lif_asc_psc 480087928_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
314642645 point_process nest:glif_lif_asc_psc 314642645_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
480122859 point_process nest:glif_lif_asc_psc 480122859_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
479179020 point_process nest:glif_lif_asc_psc 479179020_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
501848315 point_process nest:glif_lif_asc_psc 501848315_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
473020156 point_process nest:glif_lif_asc_psc 473020156_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
484679812 point_process nest:glif_lif_asc_psc 484679812_glif_lif_asc_config.json e4Rorb NULL e Cortex v1
478110866 point_process nest:glif_lif_asc_psc 478110866_glif_lif_asc_config.json i5Htr3a NULL i Cortex v1
483018019 point_process nest:glif_lif_asc_psc 483018019_glif_lif_asc_config.json e4other NULL e Cortex v1
486146717 point_process nest:glif_lif_asc_psc 486146717_glif_lif_asc_config.json e4other NULL e Cortex v1
477135941 point_process nest:glif_lif_asc_psc 477135941_glif_lif_asc_config.json e4other NULL e Cortex v1
486146828 point_process nest:glif_lif_asc_psc 486146828_glif_lif_asc_config.json e4other NULL e Cortex v1
487601493 point_process nest:glif_lif_asc_psc 487601493_glif_lif_asc_config.json e4other NULL e Cortex v1
478793814 point_process nest:glif_lif_asc_psc 478793814_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
481017021 point_process nest:glif_lif_asc_psc 481017021_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
318556138 point_process nest:glif_lif_asc_psc 318556138_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
480952106 point_process nest:glif_lif_asc_psc 480952106_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
515305346 point_process nest:glif_lif_asc_psc 515305346_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
336676216 point_process nest:glif_lif_asc_psc 336676216_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
313861608 point_process nest:glif_lif_asc_psc 313861608_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
478949560 point_process nest:glif_lif_asc_psc 478949560_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
478958894 point_process nest:glif_lif_asc_psc 478958894_glif_lif_asc_config.json i4Pvalb NULL i Cortex v1
487667205 point_process nest:glif_lif_asc_psc 487667205_glif_lif_asc_config.json i4Pvalb NULL i Cortex v1
324266189 point_process nest:glif_lif_asc_psc 324266189_glif_lif_asc_config.json i23Sst NULL i Cortex v1
476686112 point_process nest:glif_lif_asc_psc 476686112_glif_lif_asc_config.json i23Sst NULL i Cortex v1
324493977 point_process nest:glif_lif_asc_psc 324493977_glif_lif_asc_config.json i23Sst NULL i Cortex v1
474626527 point_process nest:glif_lif_asc_psc 474626527_glif_lif_asc_config.json i4Htr3a NULL i Cortex v1
313862167 point_process nest:glif_lif_asc_psc 313862167_glif_lif_asc_config.json i4Sst NULL i Cortex v1
